Date,Open,High,Low,Close,Volume
2019-02-15,3391.24,3395.03,3335.87,3338.7,14366860300
2019-02-18,3366.42,3445.74,3366.42,3445.74,18288608900
2019-02-19,3454.72,3480.79,3419.07,3439.61,17908378500
2019-02-20,3449.93,3463.77,3421.5,3451.93,14739031100
2019-02-21,3450.14,3500.25,3431.63,3442.71,18014328700
2019-02-22,3439.38,3520.12,3417.98,3520.12,18723797400
2019-02-25,3575.85,3729.48,3574.69,3729.48,34255712200
2019-02-26,3734.71,3762.11,3679.27,3684.69,35803869800
2019-02-27,3682.81,3737.63,3638.33,3678.39,28623600700
2019-02-28,3675.26,3695.46,3650.05,3669.37,18481022000
2019-03-01,3699.22,3749.71,3668.76,3749.71,20471100400
2019-03-04,3783.04,3886.58,3764.78,3794.1,32349012600
2019-03-05,3785.38,3816.16,3770.79,3816.01,23085316600
2019-03-06,3822.86,3855.16,3787.52,3848.09,31807737100
2019-03-07,3841.15,3845.18,3778.8,3808.85,32984654800
2019-03-08,3721.4,3774.54,3656.19,3657.58,31799007700
2019-03-11,3663.98,3731.91,3650.81,3729.96,23091286500
2019-03-12,3758.32,3804.72,3723.68,3755.35,27492638200
2019-03-13,3758.71,3763.09,3708.82,3724.19,23368224800
2019-03-14,3710.29,3747.82,3673.85,3698.49,19081723700
2019-03-15,3713.94,3782.24,3713.94,3745.0,17517454400
2019-03-18,3753.64,3851.75,3733.68,3851.75,21692806000
2019-03-19,3856.59,3868.34,3815.22,3833.96,18172711000
2019-03-20,3825.34,3855.15,3790.51,3835.44,17563209000
2019-03-21,3840.28,3864.07,3823.47,3836.89,19631031000
2019-03-22,3838.13,3845.58,3786.59,3833.8,17135699300
2019-03-25,3776.44,3807.18,3741.61,3742.82,19858632900
2019-03-26,3766.53,3770.84,3687.55,3700.44,17304657900
2019-03-27,3724.41,3750.26,3703.45,3743.39,13875845400
2019-03-28,3731.06,3755.72,3710.08,3728.4,13327212900
2019-03-29,3739.77,3876.38,3739.77,3872.34,21563910300
2019-04-01,3901.17,3982.91,3901.17,3973.93,27138270400
2019-04-02,3986.34,3988.1,3956.51,3971.28,22600034100
2019-04-03,3947.87,4026.5,3939.78,4022.16,23191736800
2019-04-04,4039.74,4072.11,4021.71,4062.23,26041093900
2019-04-08,4097.1,4122.6,4017.49,4057.23,26750557600
2019-04-09,4063.81,4084.24,4038.28,4075.43,18295680800
2019-04-10,4062.44,4115.38,4035.47,4085.85,19468761300
2019-04-11,4083.46,4097.12,3990.24,3997.58,16904964100
2019-04-12,3986.78,4006.93,3961.46,3988.62,13586211800
2019-04-15,4056.49,4085.39,3974.23,3975.52,18264557100
2019-04-16,3958.1,4085.79,3943.49,4085.79,20204196600
2019-04-17,4080.72,4106.62,4057.5,4087.24,18036711700
2019-04-18,4085.12,4094.05,4056.24,4072.08,14656212300
2019-04-19,4076.3,4120.64,4046.2,4120.61,15079491000
2019-04-22,4125.97,4126.09,4015.48,4025.61,18935374500
2019-04-23,4021.63,4061.09,4005.28,4019.0,15561165000
2019-04-24,4033.63,4044.34,3967.81,4030.09,14549869500
2019-04-25,4013.6,4022.56,3938.32,3941.82,15972207100
2019-04-26,3921.89,3943.83,3887.25,3889.28,14200806800
2019-04-29,3896.58,3953.23,3875.45,3900.33,15387092700
2019-04-30,3887.18,3923.11,3885.15,3913.21,11623337600
2019-05-06,3775.08,3791.61,3647.14,3684.62,19747288200
2019-05-07,3702.27,3738.18,3671.83,3720.67,13284765400
2019-05-08,3648.55,3722.93,3642.5,3667.46,11286735500
2019-05-09,3637.35,3656.9,3584.82,3599.7,10103739400
2019-05-10,3643.06,3732.92,3589.29,3730.45,14800384700
2019-05-13,3675.76,3702.9,3658.0,3668.73,10339186000
2019-05-14,3630.44,3683.26,3630.44,3645.15,10231346000
2019-05-15,3674.99,3741.04,3674.99,3727.09,11016176900
2019-05-16,3720.04,3745.14,3707.9,3743.96,11625827400
2019-05-17,3744.88,3745.36,3637.58,3648.76,12845324500
2019-05-20,3635.74,3644.5,3583.83,3617.79,10896347700
2019-05-21,3619.44,3690.09,3610.68,3666.78,11102292000
2019-05-22,3663.15,3679.27,3634.75,3649.38,9834612800
2019-05-23,3629.53,3631.47,3578.11,3583.96,9989778100
2019-05-24,3584.9,3623.39,3580.78,3593.91,8093404800
2019-05-27,3592.6,3648.03,3556.26,3637.2,10883087100
2019-05-28,3633.02,3683.23,3627.79,3672.26,11788624000
2019-05-29,3642.54,3693.23,3637.35,3663.91,9335544100
2019-05-30,3648.85,3650.97,3612.62,3641.18,9420256100
2019-05-31,3641.0,3668.18,3627.54,3629.79,8922226700
2019-06-03,3640.61,3672.81,3613.13,3632.01,10072318000
2019-06-04,3632.56,3636.13,3584.46,3598.47,8709709400
2019-06-05,3627.8,3634.45,3593.95,3597.1,8864202000
2019-06-06,3601.04,3601.04,3557.02,3564.68,8553440300
2019-06-10,3578.01,3623.73,3568.28,3610.74,9237506100
2019-06-11,3617.52,3723.14,3617.52,3719.28,14348280600
2019-06-12,3706.86,3711.88,3683.94,3691.1,11917885300
2019-06-13,3689.58,3697.59,3654.27,3685.39,9633171800
2019-06-14,3690.48,3709.65,3650.91,3654.88,10181700400
2019-06-17,3654.44,3683.77,3645.5,3654.82,7297667800
2019-06-18,3661.13,3675.64,3638.78,3667.62,7069226600
2019-06-19,3761.34,3771.35,3715.13,3715.94,12559571500
2019-06-20,3718.94,3845.79,3717.19,3828.52,16887207300
2019-06-21,3832.73,3856.09,3817.31,3833.94,15363515500
2019-06-24,3836.3,3853.54,3819.77,3841.27,10008462100
2019-06-25,3837.43,3838.06,3755.01,3801.31,12407591200
2019-06-26,3779.51,3809.76,3771.72,3794.33,8182028300
2019-06-27,3807.54,3854.08,3805.83,3834.82,10531635800
2019-06-28,3832.06,3835.23,3803.06,3825.59,8476613900
2019-07-01,3899.33,3936.67,3886.91,3935.81,15837034000
2019-07-02,3931.05,3942.43,3918.94,3937.17,13186349600
2019-07-03,3927.44,3927.44,3878.84,3893.53,11199260300
2019-07-04,3895.2,3906.89,3854.69,3873.1,9934225600
2019-07-05,3875.37,3900.31,3857.93,3893.2,7400652700
2019-07-08,3875.76,3875.76,3775.03,3802.79,10953908600
2019-07-09,3798.1,3811.1,3774.76,3793.13,7484273200
2019-07-10,3807.95,3810.4,3774.23,3786.74,7283394800
2019-07-11,3806.19,3830.74,3774.41,3785.22,7531196500
2019-07-12,3783.07,3820.24,3774.52,3808.73,7546596700
2019-07-15,3792.64,3844.87,3745.86,3824.19,10120522200
2019-07-16,3819.25,3828.33,3799.87,3806.84,8073095200
2019-07-17,3800.11,3820.27,3787.9,3804.64,9518388500
2019-07-18,3793.19,3793.39,3768.0,3768.4,8749644500
2019-07-19,3787.51,3828.15,3787.51,3807.96,8808614900
2019-07-22,3813.5,3816.54,3765.44,3781.68,9210137700
2019-07-23,3783.54,3792.96,3768.76,3789.91,7131334600
2019-07-24,3803.59,3840.06,3803.57,3819.83,9094068400
2019-07-25,3821.39,3851.07,3812.95,3851.07,9374041700
2019-07-26,3835.23,3863.59,3832.52,3858.57,8325930000
2019-07-29,3857.94,3862.75,3842.43,3854.27,8481437000
2019-07-30,3861.57,3890.73,3861.57,3870.32,9412395500
2019-07-31,3856.74,3856.74,3830.09,3835.36,8215115500
2019-08-01,3819.32,3831.26,3791.55,3803.47,8411418000
2019-08-02,3729.13,3754.53,3720.06,3747.44,10833589700
2019-08-05,3724.41,3739.5,3675.69,3675.69,10132598100
2019-08-06,3609.11,3649.9,3575.86,3636.33,12983387100
2019-08-07,3654.63,3659.08,3621.43,3621.43,8423871600
2019-08-08,3651.36,3675.46,3646.94,3669.29,8845770700
2019-08-09,3686.75,3689.18,3628.12,3633.53,8529558000
2019-08-12,3647.87,3699.1,3643.32,3699.1,8208305600
2019-08-13,3675.59,3686.43,3658.01,3665.75,7650030200
2019-08-14,3712.07,3717.56,3680.61,3682.4,9120259000
2019-08-15,3618.01,3694.3,3612.11,3694.0,8859883200
2019-08-16,3697.94,3738.1,3687.08,3710.54,8831916900
2019-08-19,3736.03,3791.1,3720.69,3791.1,13932701300
2019-08-20,3786.03,3799.9,3778.73,3787.73,10860208800
2019-08-21,3778.31,3792.6,3775.45,3781.76,8229988000
2019-08-22,3793.86,3797.33,3771.2,3793.51,8580779200
2019-08-23,3796.88,3829.36,3788.04,3820.86,8795458300
2019-08-26,3756.36,3778.87,3753.16,3765.91,9385926900
2019-08-27,3791.46,3848.24,3790.87,3816.95,12473147800
2019-08-28,3818.81,3822.59,3790.14,3802.58,8875081200
2019-08-29,3805.49,3808.6,3774.4,3790.19,8408338700
2019-08-30,3816.68,3828.97,3778.92,3799.59,9669515000
2019-09-02,3803.69,3855.78,3799.82,3848.32,11028934900
2019-09-03,3852.58,3856.68,3833.76,3853.61,9771463100
2019-09-04,3848.65,3886.0,3846.42,3886.0,12662861500
2019-09-05,3909.21,3970.0,3909.21,3925.32,18165623100
2019-09-06,3946.68,3948.54,3922.34,3948.51,12188237600
2019-09-09,3980.96,3985.24,3954.88,3972.95,14680975400
2019-09-10,3976.87,3976.92,3938.74,3959.26,13088938600
2019-09-11,3969.68,3971.22,3922.95,3930.1,13159487500
2019-09-12,3944.69,3975.93,3933.44,3972.38,11024127300
2019-09-16,3981.36,3982.2,3943.37,3957.72,11025980500
2019-09-17,3947.16,3947.16,3879.48,3891.22,11369431700
2019-09-18,3903.0,3923.15,3902.51,3910.08,8205615200
2019-09-19,3923.96,3924.38,3897.07,3924.38,8598423800
2019-09-20,3933.46,3942.22,3921.41,3935.65,10345595500
2019-09-23,3925.19,3925.19,3868.21,3890.66,9403622500
2019-09-24,3895.87,3927.01,3886.14,3901.08,8778323000
2019-09-25,3887.56,3889.84,3867.23,3870.98,8952083500
2019-09-26,3884.7,3890.74,3840.25,3841.14,10269830100
2019-09-27,3843.46,3859.5,3832.25,3852.65,7400394700
2019-09-30,3842.07,3857.23,3813.55,3814.53,6593131300
2019-10-08,3818.59,3861.64,3818.59,3837.68,7665786000
2019-10-09,3822.61,3845.34,3805.07,3843.24,7585451200
2019-10-10,3838.49,3877.14,3829.43,3874.64,7922269400
2019-10-11,3885.52,3922.37,3868.84,3911.72,9341257700
2019-10-14,3944.86,3983.81,3934.73,3953.24,12239361100
2019-10-15,3953.16,3953.16,3928.15,3936.25,8527394900
2019-10-16,3939.28,3964.05,3919.02,3922.68,8322970700
2019-10-17,3929.39,3935.81,3913.92,3925.22,6486374500
2019-10-18,3935.42,3940.54,3864.96,3869.38,8232114000
2019-10-21,3865.34,3884.74,3856.04,3880.84,7418291800
2019-10-22,3896.32,3897.44,3870.55,3895.88,6891856600
2019-10-23,3892.68,3901.42,3862.2,3871.08,7019862500
2019-10-24,3877.92,3890.2,3852.58,3870.67,7133457500
2019-10-25,3871.77,3899.72,3849.03,3896.79,7745362000
2019-10-28,3904.98,3927.8,3897.82,3926.58,9740602000
2019-10-29,3929.71,3932.38,3910.23,3910.23,8225707500
2019-10-30,3904.72,3908.1,3883.45,3891.23,7787292300
2019-10-31,3906.86,3907.15,3878.88,3886.75,8671453900
2019-11-01,3883.81,3956.08,3876.42,3952.39,10068961200
2019-11-04,3964.0,3985.36,3964.0,3978.12,10419385500
2019-11-05,3982.12,4030.64,3970.87,4002.81,11291188000
2019-11-06,4006.33,4007.5,3973.78,3984.88,9731295200
2019-11-07,3984.55,4005.38,3975.55,3991.88,8725489800
2019-11-08,4017.67,4022.04,3971.57,3973.01,9710694800
2019-11-11,3948.62,3948.62,3897.55,3902.98,9415562100
2019-11-12,3905.96,3914.88,3877.74,3903.69,7654306900
2019-11-13,3905.28,3908.42,3882.43,3899.98,7674907800
2019-11-14,3905.93,3916.95,3895.14,3905.86,8700844600
2019-11-15,3908.49,3915.1,3877.09,3877.09,8373091700
2019-11-18,3874.44,3913.1,3868.32,3907.93,7664599300
2019-11-19,3904.1,3947.04,3902.38,3947.04,8216102500
2019-11-20,3940.13,3943.23,3901.99,3907.86,7681533300
2019-11-21,3894.54,3901.83,3875.97,3889.6,6913053800
2019-11-22,3894.17,3918.84,3833.5,3850.0,9104263900
2019-11-25,3850.97,3878.25,3839.42,3878.21,10606628900
2019-11-26,3893.44,3899.11,3869.6,3891.65,11151353700
2019-11-27,3883.43,3889.98,3862.7,3875.62,7643730500
2019-11-28,3877.9,3887.69,3852.01,3862.3,6523011900
2019-11-29,3857.19,3861.66,3804.83,3828.67,7414433100
2019-12-02,3835.51,3854.75,3829.31,3836.06,7741217300
2019-12-03,3829.21,3851.12,3811.63,3851.09,7361124000
2019-12-04,3841.66,3852.99,3831.08,3849.82,7968338500
2019-12-05,3863.61,3883.4,3859.82,3879.36,8905119300
2019-12-06,3885.06,3902.38,3878.7,3902.38,7864888700
2019-12-09,3909.53,3911.97,3885.25,3895.45,9535380600
2019-12-10,3886.44,3900.96,3882.09,3900.38,8626292800
2019-12-11,3907.16,3909.38,3890.34,3902.75,9976548000
2019-12-12,3908.45,3908.45,3886.12,3891.02,8470833000
2019-12-13,3928.0,3969.46,3925.28,3968.22,14857134900
2019-12-16,3970.71,3987.59,3953.51,3987.55,14848667000
2019-12-17,3987.74,4067.14,3984.52,4041.8,20116293700
2019-12-18,4039.72,4057.64,4025.34,4032.78,15135176400
2019-12-19,4034.62,4038.54,4014.9,4027.15,11790055800
2019-12-20,4032.15,4046.73,4014.93,4017.25,12126766200
2019-12-23,4014.69,4032.17,3964.38,3967.1,12281624600
2019-12-24,3971.56,3994.51,3963.66,3992.96,9598904500
2019-12-25,3988.66,4000.56,3976.36,3990.87,9493889000
2019-12-26,3993.67,4025.99,3993.54,4025.99,10886064000
2019-12-27,4029.24,4066.8,4019.72,4022.03,15092641100
2019-12-30,4015.52,4083.69,4001.5,4081.63,15597148800
2019-12-31,4077.75,4098.14,4069.01,4096.58,12326425800
2020-01-02,4121.35,4172.66,4121.35,4152.24,18211677200
2020-01-03,4161.22,4164.3,4131.86,4144.96,14282624400
2020-01-06,4120.52,4170.64,4102.38,4129.3,17530995300
2020-01-07,4137.4,4161.25,4135.1,4160.23,13948903100
2020-01-08,4139.63,4149.81,4101.98,4112.32,16758585000
2020-01-09,4145.54,4165.66,4143.59,4164.37,13688632400
2020-01-10,4177.58,4180.98,4148.48,4163.19,11303171900
2020-01-13,4166.92,4203.99,4148.6,4203.99,11969198200
2020-01-14,4215.16,4223.51,4188.08,4189.89,12932078300
2020-01-15,4186.88,4193.87,4150.88,4166.73,10463313600
2020-01-16,4174.82,4175.29,4142.18,4149.04,10026764200
2020-01-17,4162.19,4177.03,4141.65,4154.85,9872568200
2020-01-20,4170.74,4185.96,4149.49,4185.83,12240914700
2020-01-21,4165.02,4165.02,4113.32,4114.31,13052750700
2020-01-22,4093.8,4141.18,4046.49,4131.93,12675876300
2020-01-23,4093.32,4103.52,3972.39,4003.9,16035760300
2020-02-03,3639.91,3732.16,3639.91,3688.36,15755964700
2020-02-04,3652.0,3786.86,3652.0,3785.64,21393332800
2020-02-05,3801.1,3866.01,3781.61,3828.53,17492552400
2020-02-06,3841.75,3914.92,3806.96,3899.78,17646223500
2020-02-07,3879.55,3899.88,3849.71,3899.87,15173175900
2020-02-10,3872.37,3920.17,3861.01,3916.0,14840696900
2020-02-11,3926.42,3970.52,3915.71,3952.46,14344167400
2020-02-12,3945.67,3984.43,3940.67,3984.43,12671032100
2020-02-13,3985.88,3999.55,3950.14,3959.92,14500184300
2020-02-14,3954.23,4001.56,3954.02,3987.73,14323980300
2020-02-17,3999.65,4077.45,3999.65,4077.42,18277896900
2020-02-18,4069.83,4076.39,4027.79,4057.51,16323622000
2020-02-19,4049.59,4085.17,4042.84,4051.31,16904644100
2020-02-20,4062.9,4148.53,4055.81,4144.66,21223262400
2020-02-21,4134.88,4184.44,4130.17,4149.49,21721360400
2020-02-24,4131.84,4149.01,4097.18,4132.84,21286930300
2020-02-25,4066.3,4126.71,4020.91,4123.85,24416783100
2020-02-26,4070.1,4132.78,4061.12,4073.02,26109406100
2020-02-27,4084.08,4110.53,4067.44,4084.88,18129098100
2020-02-28,3988.73,4031.14,3928.07,3940.05,23027509300
2020-03-02,3968.84,4092.54,3968.84,4069.67,21931355900
2020-03-03,4125.14,4147.65,4067.91,4091.36,21936977700
2020-03-04,4078.5,4115.26,4060.73,4115.05,18242473000
2020-03-05,4150.21,4215.85,4127.04,4206.73,23182311500
